"paperName","researcher","journal","citations","year"
"Principals with private information, I: Independent values","E Maskin, J Tirole","Harvard Institute of Economic Resarch, Harvard University, 1986","9","1986"
"Asset Bubbles and Overlapping Generators: A Synthesis","Stanford University. Institute for Mathematical Studies in the Social Sciences","","9","1984"
"Taux d'actualisation et optimum second","J Tirole","Revue économique, 829-869, 1981","9","1981"
"Price caps as welfare-enhancing coopetition","P Rey, J Tirole","Journal of Political Economy, 2019","8","2019"
"Policy brief—translating the collective climate goal into a common climate commitment","P Cramton, A Ockenfels, J Tirole","Review of Environmental Economics and Policy 11 (1), 165-171, 2017","8","2017"
"Switching bubbles: From outside to inside bubbles","S Basco","European Economic Review 87, 236-255, 2016","8","2016"
"Renforcer le capital-risque français","M Ekeland, A Landier, J Tirole","Notes du conseil danalyse economique, 1-12, 2016","8","2016"
"L'apprentissage au service de l'emploi","P Cahuc, M Ferracci, J Tirole, É Wasmer","Notes du conseil danalyse economique, 1-12, 2014","8","2014"
"Déficits de liquidité: fondements théoriques","J Tirole","RSF REVUE, 57, 2008","8","2008"
"Protection de l'emploi et procédures de licenciement","France. Conseil d'analyse économique","la Documentation française, 2003","8","2003"
"Some reflections on open source software","E Peyrache, J Cremer, J Tirole","Communications & Stratégies 40, 139-160, 2002","8","2002"
"<U+94F6><U+884C><U+76D1><U+7BA1>","M Dewatripont, J Tirole","<U+4E0A><U+6D77>: <U+590D><U+65E6><U+5927><U+5B66><U+51FA><U+7248><U+793E>, 2002","8","2002"
"Competition in Telecommunications MIT Press Cambridge","JJ Laffont, J Tirole","MA, 2000","8","2000"
"The economics of career concerns: part 2: application to missions and accountability of government agencies","M Dewatripont, I Jewitt, J Tirole","ULB Institutional Repository, 1999","8","1999"
"Comments on the paper of Schwart","J Tirole","Contract economics, Cambridge, Blackwell Publishers, 109-113, 1992","8","1992"
"In Honor of David Kreps, Winner of the John Bates Clark Medal","J Tirole","Journal of Economic Perspectives 4 (3), 149-170, 1990","8","1990"
"Patent disclosures and standard-setting","J Lerner, H Tabakovic, J Tirole","National Bureau of Economic Research, 2016","7","2016"
"Wicksell lectures: Inside and outside liquidity","B Holmstrom, J Tirole","","7","2010"
"A cognitive theory of identity, dignity, and taboos","R Bénabou, J Tirole","Unpublished, 2006","7","2006"
"Competition in Telecommunications (The Munich Lectures)","JJ Laffont, J Tirole","Cambridge, Massachusetts: MIT Press, 2000","7","2000"
"Advocates","J Tirole, M Dewatripont","Journal of Political Economy 107 (1), 1999","7","1999"
"Collusion et théorie des organisations","J Tirole","Revue d'économie industrielle, 247-286, 1995","7","1995"
"Modelli dinamici di oligopolio","D Fudenberg, J Tirole, G Martini","Giuffré, 1994","7","1994"
"Noncooperative Game Theory: A User’s Manual","J Tirole","The Theory of Industrial Organization, MIT Press, Cambridge, 1988","7","1988"
"What role for economists in policy-making?","A Bénassy-Quéré, OJ Blanchard, J Tirole","Notes du conseil d’analyse économique, 1-12, 2017","6","2017"
"Symposium on international climate negotiations","P Cramton, A Ockenfels, S Stoft","Economics of Energy & Environmental Policy 4 (2), 1-4, 2015","6","2015"
"Cognition-intensive contracting","J Tirole","Discussion Paper, Toulouse School of Economics, 2015","6","2015"
"Les enjeux économiques du droit des faillites","G Plantin, D Thesmar, J Tirole","Notes du conseil danalyse economique, 1-12, 2013","6","2013"
"Compléter l'euro","P Artus, A Bénassy-Quéré, L Boone, J Cailloux, J Delpla, E Farhi, ...","Notes du conseil danalyse economique, 1-12, 2013","6","2013"
"The economics of tacit collusion in merger analysis","M Ivaldi, B Jullien, P Rey, P Seabright, J Tirole","Political Economy of Antitrust, 217-239, 2007","6","2007"
"A primer on Foreclosure","J Tirole, P Rey","Handbook of Industrial Organization 3, 2007","6","2007"
"A cognitive theory of identity","R Benabou, J Tirole","Dignity and Taboos, 2006","6","2006"
"Platform competition in two-sided markets","J Tirole, JC Rochet","Journal of the European Economic Association 1 (4), 990-1029, 2003","6","2003"
"The economics of horizontal mergers: unilateral and coordinated effects","M Ivaldi, B Jullien, P Rey, P Seabright, J Tirole","Report for DG Competition, European Commission, March/November, IDEI, Toulouse, 2003","6","2003"
"Reaching higher productivity growth in France and Germany","O Blanchard, CM Baily, H Gersbach, M Schnitzer, J Tirole","Sector case: Retail Trade, McKinsey Global Institute, 2002","6","2002"
"Concerns, Part I: Comparing","M DEWATRIPONT, IAN JEWITT, J TIROLE","Review of Economic Studies 66, 183-198, 1999","6","1999"
"Network Competition","JJ Laffont, P Rey, J Tirole","Institut d'Economie Industrielle, 1997","6","1997"
"Shrouded transaction costs: must-take cards, discounts and surcharges","H Bourguignon, R Gomes, J Tirole","International Journal of Industrial Organization 63, 99-144, 2019","5","2019"
"Missed Sales and the Pricing of Ancillary Goods","R Gomes, J Tirole","The Quarterly Journal of Economics 133 (4), 2097-2169, 2018","5","2018"
"10 Effective Institutions against Climate Change","C Gollier, J Tirole","Global Carbon Pricing, 165, 2017","5","2017"
"There are many reasons to be cautious about bitcoin","J Tirole","Financial Times 30, 2017, 2017","5","2017"
"Corporate Governance","C Governance","Central University, 2016","5","2016"
"Théorie des incitations et réglementation","JJ Laffont, J Tirole","","5","2013"
"Pegs, risk management, and financial crises","PA Pathak, J Tirole","Risk Management, and Financial Crises (July 28, 2004), 2004","5","2004"
"Alcohol Prohibition, Alcohol Consumption, and Cirrhosis","A Dills, JA Miron, PR Gilchrist, R Rosenthal, M Thornton, J Tirole, ...","typescript, Boston University, 2001","5","2001"
"Personal Rules","R Bénabou, J Tirole","mimeo, Princeton, 2000","5","2000"
"El gobierno corporativo","J Tirole","Economía 22 (44), 9-60, 1999","5","1999"
"Accès, prix et concurrence","JJ Laffont, J Tirole","Politique Economique Fondements Théoriques, 1997","5","1997"
"Comment on the Proposal of Engel, Fischer and Galetovic on Highway Franchising","J Tirole","Estudios Públicos 65, 201-214, 1997","5","1997"
"Libéralisation et charges daccès","JJ Laffont, J Tirole","Annales des télécommunications 50 (2), 306-314, 1995","5","1995"
"Dynamic programming","E Maskin, J Tirole","Unforseen Contingencies, and Incomplete, 1995","5","1995"
"The Incentive Theory of Procure—ment and Regulation","JJ Laffont, J Tirole","MIT Press, 1993","5","1993"
"Game Theory, Cambridge, Massa-chusetts","D Fudenberg, J Tirole","T he MIT Press, 1991","5","1991"
"Price discrimination","J Tirole","The Theory of Industrial Organization. MIT Press, Cambridge, MA, 15-45, 1988","5","1988"
"Repeated auctions of incentive contracts, investment and bidding parity with an application to takeovers","JJ Laffont, J Tirole","Cambridge, Mass.: Dept. of Economics, Massachusetts Institute of Technology, 1987","5","1987"
"Economia del bene comune","J Tirole","Edizioni Mondadori, 2017","4","2017"
"Les économistes dans la cité","A Benassy-Quéré, OJ Blanchard, J Tirole","Notes du conseil danalyse economique, 1-12, 2017","4","2017"
"Why Paris did not solve the climate dilemma","R Cooper, P Cramton, S Dion, O Edenhofer, C Gollier, É Laurent, ...","Global Carbon Pricing-The Path to Climate Cooperation, 2016","4","2016"
"Pour un accord efficace sur le climat","C Gollier, J Tirole","Le Monde (4 Jun. 2016), 2015","4","2015"
"Card surcharges and cash discounts: Simple economics and regulatory lessons","H Bourguignon, R Gomes, J Tirole","COMPETITION POL’Y INT’L 10, 12, 20, 2014","4","2014"
"Apprenticeships for employment","P Cahuc, M Ferracci, J Tirole, É Wasmer","Notes du conseil d’analyse économique, 1-12, 2014","4","2014"
"Bubbly liquidity","J Tirole, E Farhi","Review of Economic Studies 79 (2), 678-706, 2012","4","2012"
"Taxe carbone: de Charybde en Scylla?","C Gollier, J Tirole","IDÉES, 15, 2010","4","2010"
"A Primer on Payment Cards","JC Rochet, J Tirole","Report Prepared for the Portuguese Competition Authority, 2005","4","2005"
"Willpower and Personal Rules","J Tirole","Journal of Political Economy, 2004","4","2004"
"Concessions, concurrence et incitations","J Tirole","C. Henry, E. Quinet, Concurrence et service public, Paris, L’Harmattan, 75-94, 2003","4","2003"
"Contours of employment protection reform. english adaptation of a report written for the French Conseil d’Analyse Economique","O Blanchard, J Tirole","","4","2003"
"Le risque régulatoire","JJ Laffont, J Tirole","Risques-Les Cahiers de l'Assurance 46, 86-89, 2001","4","2001"
"<U+7535><U+4FE1><U+7ADE><U+4E89>","JJ Laffont, J Tirole","<U+4EBA><U+6C11><U+90AE><U+7535><U+51FA><U+7248><U+793E>, 2001","4","2001"
"Network competition: II. Price discrimination","P Rey, J Tirole","RAND Journal of Economics 29, 38-56, 1998","4","1998"
"Trade-ins, upgrades, and buy-backs","D Fudenberg, J Tirole","Rand Journal of Economics 29, 1998","4","1998"
"The Theory OF Industrial Organization 324","J Tirole","MIT Press, 1993","4","1993"
"A Theory of Dynamic Oligopoly: Parts I-III","E Maskin, J Tirole","Harvard Institute of Economic Research, 1986","4","1986"
"Introduction à certains travaux théoriques sur la Recherche-Développement","R Guesnerie, J Tirole","Ecole des hautes études en sciences sociales, 1985","4","1985"
"Sequential bargaining with many buyers","D Fudenberg, DK Levine, J Tirole","Cambridge, Mass.: Dept. of Economics, Massachusetts Institute of Technology, 1985","4","1985"
"Liquidity regulation, bail-ins and bailouts","M Dewatripont, J Tirole","Working paper, IDEI, 2018","3","2018"
"Economics for the Common Good","J Tirole","PANOECONOMICUS 65 (2), 255-266, 2018","3","2018"
"Eliciting Moral Preferences","R Bénabou, A Falk, J Tirole","Mimeo, 2018","3","2018"
"Rebuilding the health insurance system","B Dormont, PY Geoffard, J Tirole","Notes du conseil d’analyse économique, 1-12, 2014","3","2014"
"La théorie économique de la régulation des licenciements","J Tirole","Commentaire, 65-72, 2014","3","2014"
"Reforming French Bankruptcy Law","G Plantin, D Thesmar, J Tirole","Notes du conseil d’analyse économique, 1-12, 2013","3","2013"
"La crise de l’euro: quelques éléments de réflexion sur la réforme institutionnelle","J TIROLE","Revue de la Stabilité Financière 16, 253-272, 2012","3","2012"
"Materialistic Genius and Market Power: Uncovering the Best Innovations","J Tirole, G Weyl","IDEI Working Papers, 2010","3","2010"
"Monitoring the indebtedness of banks and countries: reflexions on regulatory reforms and international institutions","J Tirole","","3","2010"
"Balancing the Banks","JC Rochet, J Tirole","Princeton University Press, 2010","3","2010"
"Speculative Attacks and Risk Management","PA Pathak, J Tirole","American Economic Review, 2006","3","2006"
"Normes et Propriété Intellectuelle: la vue d'un économiste","J Tirole","Lettre de l'Autorité de Régulation des Communications Electroniques et des …, 2006","3","2006"
"Lobbying games","AP Semenov","Dissertation, University of Toulouse, 2005","3","2005"
"Retail electricity consumption","P Joskow, J Tirole","University of Cambridge Department of Applied Economics, 2004","3","2004"
"Cooperative market agreements between competitors: evidence from patent pools","J Lerner, J Tirole, M Strojwas","National Bureau of Economic Research, 2003","3","2003"
"Liquidity, Asset Pricing and Public Policy","J Tirole","Annual Meeting Plenary, 2003","3","2003"
"Competition in telecommunications","D Mandy","Southern Economic Journal 68 (1), 190-199, 2001","3","2001"
"Les idées nouvelles sur lintégration verticale: un guide informel de lutilisateur","J Tirole","Annales des télécommunications 50 (2), 256-264, 1995","3","1995"
"Game Theory (Massachusetts Institute of Technology)","D Fudenberg, J Tirole","","3","1993"
"De la désétatisation en Europe de l'Est","P Aghion, I Grosfeld, P Bolton, J Tirole","Revue de l'OFCE 34 (1), 195-213, 1990","3","1990"
"Your use of the JSTOR archive indicates your acceptance of the Terms & Conditions of Use, available at.","CL Arnold, WF Libby","Taxon 36 (2), 427-428, 1987","3","1987"
"Procurement, Cost Overruns and Severance. A Study in Commitment and Renegotiation","J Tirole","STANFORD UNIV CA INST FOR MATHEMATICAL STUDIES IN THE SOCIAL SCIENCES, 1984","3","1984"
"Differential thermal analysis of wavellite","FN Blanchard","Quarterly Journal of the Florida Academy of Sciences 30 (3), 161-167, 1967","3","1967"
"Competition in Telecommunications, 2000","JJ Laffont, J Tirole","London: MIT Press, 0","3",""
"Imperfect Markets and Imperfect Regulation: An Introduction to the Microeconomics and Political Economy of Power Markets","TO Léautier","MIT Press, 2019","2","2019"
"Taxing Unwanted Populations: Fiscal Policy and Conversions in Early Islam","M Saleh, J Tirole","Working Paper. Toulouse School of Economics, 2018","2","2018"
"Strengthening French venture capital","M Ekeland, A Landier, J Tirole","Notes du conseil d’analyse économique, 1-12, 2016","2","2016"
"<U+516C><U+53F8><U+91D1><U+878D><U+7406><U+8BBA>","J Tirole","Zhongguo ren min da xue chu ban she, 2015","2","2015"
"The Contours of Banking and the Future of Its Regulation","J Tirole","Olivier Blanchard et al., What Have We Learned, 143-154, 2014","2","2014"
"Défaillances de marché et politiques publiques","J Tirole","Traduction de la Nobel lecture de l’auteur, présentée à´ Stockholm le 8 …, 2014","2","2014"
"protection. A","O Blanchard, J Tirole","","2","2006"
"Incentives and prosocial behavior","J Tirole, R Bénabou","National Bureau of Economic Research, 2005","2","2005"
"The Economics of Technology Sharing: Open Source and Beyond","J Tirole, J Lerner","NBER Working Paper, 2004","2","2004"
"Macroeconomic theory and economic policy: essays in honour of Jean-Paul Fitoussi","KV Velupillai","Routledge, 2004","2","2004"
"Cooperative Marketing Agreements between Competitors: Evidence from Patent Pools","M Strojwas, J Tirole, J Lerner","Harvard NOM Working Paper, 2003","2","2003"
"Self knowledge and self regulation: an economic approach","J Tirole, R Zeckhauser","Psychology of Economic Decisions. Vol. 1: Rationality and Well-being, 2003","2","2003"
"<U+30C6><U+30EC><U+30B3><U+30E0><U+7523><U+696D><U+306B><U+304A><U+3051><U+308B><U+7AF6><U+4E89>","JJ Laffont, J Tirole","<U+30A8><U+30B3><U+30CE><U+30DF><U+30B9><U+30C8><U+793E>, 2003","2","2003"
"Transparency and tacit collusion in a differentiated market","C Schultz","CESifo Working Paper Series, 2002","2","2002"
"Auctioning Incentive Contracts'","L Jean-Jacques, J Tirole","INTERNATIONAL LIBRARY OF CRITICAL WRITINGS IN ECONOMICS 113, 290-306, 2000","2","2000"
"A liquidity based asset pricing model","B Holmstrm, J Tirole","Cambridge, Mass.: Massachusetts Institute of Technology, 1998","2","1998"
"Some Implications of Growth for Ownership Structure and Organisational Forms","P Aghion, J Tirole","European Economic Review, 1995","2","1995"
"A Theory of Debt and Equity: Diversity of Securities and Manager3Share3holder Congruence","M Dewatripont, J Tirole","Quarterly Journal of Economics 109, 102731054, 1994","2","1994"
"A Theory of Incentives in Procurement and Regulation","KM Schmidt","Journal of Institutional and Theoretical Economics (JITE)/Zeitschrift für …, 1994","2","1994"
"Game Theory Cambridge","D Fundenberg, J Tirole","Massachusetts: The MIT J, 1992","2","1992"
"VThe Theory of Industrial OrganisationV Cambridge: MA","J Tirole","USA The MIT Press, 1988","2","1988"
"Procurement, Cost Overruns and Severance","Stanford University. Institute for Mathematical Studies in the Social Sciences","","2","1984"
"Global Carbon Pricing: The Path to Climate Cooperation","RN Cooper, C Gollier, WD Nordhaus, I Parry, JE Stiglitz, J Tirole, ...","MIT Press, 2017","1","2017"
"Algorithmic Trading and Mutual Fund Performance","KYL Fong, JT Parwada, JW Yang","Available at SSRN 2980774, 2017","1","2017"
"Bonus culture: Competitive pay, screening, and multitasking","J Tirole","Journal of Political Economy 124 (2), 2016","1","2016"
"CONFERENCIA DEL PREMIO NOBEL, 8 DE DICIEMBRE DE 2014 (*)(**): FALLOS DE MERCADO Y POLÍTICAS PÚBLICAS","J Tirole","Papeles de Economía Española, 2, 2015","1","2015"
"Financial regulation","J Tirole","Rethinking Macro Policy II: First Steps and Early Lessons, 2013","1","2013"
"Laffont, Jean-Jacques (1947–2004)","J Tirole","The New Palgrave Dictionary of Economics: Volume 1–8, 3559-3562, 2008","1","2008"
"Preemption and the Efficiency of Entry","R Argenziano, P Schmidt-Dengler","University of Essex mimeo, 2008","1","2008"
"Addendum to ‘Speculative Attacks and Risk Management’","P Pathak, J Tirole","","1","2006"
"Quel rôle pour le FMI?","J Tirole, F Zumer","Commentaire, 927-936, 2004","1","2004"
"Inefficient Foreign Borrowing: A Dual0and Common0Agency Perspective","J Tirole","","1","2002"
"Competition in Telecommunications","G Knieps","Journal of Institutional and Theoretical Economics (JITE)/Zeitschrift für …, 2001","1","2001"
"Preemption and Rent Equalization in the Adoption of New Technology","D FUDENBERG, J TlROLE","Readings in industrial organization 52, 350, 2000","1","2000"
"Psychology and economics: self-confidence and social interactions","J Tirole","","1","2000"
"LAPM","B Holmstro¨m, J Tirole","National Bureau of Economic Research, 1998","1","1998"
"Liberalization and Interconnection Charges","JJ LAFFONT, J TIROLE","ANNALES DES TELECOMMUNICATIONS-ANNALS OF TELECOMMUNICATIONS 50 (2), 306-314, 1995","1","1995"
"The Folk Theorem with Imperfect Public Information","E Maskin, D Fudenberg, D Levine","Econometrica 62 (5), 1994","1","1994"
"Bengt Holmstrom","J Tirole","The Journal of Political Economy 101 (4), 678-709, 1993","1","1993"
"The Provision of Quality in Procurement","JJ Laffont, J Tirole","Incentives in procurement contracting. Pew Studies in Economics and Security …, 1993","1","1993"
"Corrigendum to'A Theory of Dynamic Oligopoly, III, Cournot Competition'(vol. 31, no. 4)","E Maskin, J Tirole","European Economic Review 32 (7), 1567-1568, 1988","1","1988"
"The theory of the firm","B Holmstrm, J Tirole","Cambridge, Mass: Dept. of Economics, Massachusetts Institute of Technology, 1987","1","1987"
"Using Cost Observation to Regulate Firms","J Tirole, JJ Laffont","Massachusetts Institute of Technology (MIT), Department of Economics, 1985","1","1985"
"Correlated equilibria and sunspots: a note","E Maskin, J Tirole","Cambridge, Mass.: Massachusetts Institute of Technology, Dept. of Economics, 1985","1","1985"
"On the efficiency of Keynesian equilibrium","E Maskin, J Tirole","Cambridge, Mass.: Dept. of Economics, Massachusetts Institute of Technology, 1980","1","1980"
"An Inquiry into the Nature and Causes of the Wealth of Nations.","Y Xiani, DA Baker, LH Guo, DH Jin, B Holmstrom, J Tirole, RJ Liu, ...","Journal of Applied Sciences 13 (16), 13-18, 1979","1","1979"
"The Mission","HE Bolton, J TIROLE","New Spain’s Far Northern Frontier Essays on Spain in the American West, 1540 …, 1979","1","1979"
"Essais sur le calcul économique public et sur le taux d'actualisation","J Tirole","","1","1978"
"Price Caps as Welfare-Enhancing Coopetition","P Rey, J Tirole","Journal of Political Economy 127 (6), 000-000, 2019","","2019"
"Taxing Identity: Theory and Evidence from Early Islam","M Saleh, J Tirole","CEPR Discussion Paper No. DP13705, 2019","","2019"
"Narratives, Imperatives, and Moral Reasoning","BÃ Roland, A Falk, J Tirole","CRC TR 224 Discussion Paper Series, 2019","","2019"
"Leave Room for Growth","E Macchiavello, V Acharya, I Hasan, A Saunders, R Adams, H Mehran, ...","Microfinance and Financial Inclusion: The Challenge of Regulating …, 2018","","2018"
"Taxing Identity: Fiscal Policy and Conversions in Early Islam","M Saleh, J Tirole","Mimeo, Toulouse School of Economics, 2018","","2018"
"DP13056 Narratives, Imperatives, and Moral Reasoning","R Bénabou, A Falk, J Tirole","","","2018"
"Craft Control and the Division of Labour: Engineers and Compositors in Britain 1890–1930","A Kalhan, A Kalhan, A Kalhan, KS Abraham, D Acemogul, S Ackroyd, ...","Work in a Metro: Intense, Flexible, Insecure 19 (3), 17-65, 2018","","2018"
"DP12832 Missed Sales and the Pricing of Ancillary Goods","R Gomes, J Tirole","","","2018"
"SHADOW BANKING AND THE FOUR PILLARS OF TRADITIONAL FINANCIAL INTERMEDIATION 1","J Tirole","Revista de Economía 24 (2), 7-30, 2017","","2017"
"DP12373 Shadow Banking and the Four Pillars of Traditional Financial Intermediation","E Farhi, J Tirole","","","2017"
"On everyday academic research","J Tirole","VOPROSY ECONOMIKI 9, 2017","","2017"
"An economist in the public space","J Tirole","VOPROSY ECONOMIKI 8, 2017","","2017"
"Corporate finance and corporate governance","AK Agrawal, C Catalini, A Goldfarb, G Akerlof, R Shiller, AA Alchian, ...","Behavioural Approaches to Corporate Governance 62 (December), 1-3, 2016","","2016"
"DP11024 Deadly Embrace: Sovereign and Financial Balance Sheets Doom Loops","E Farhi, J Tirole","","","2015"
"From Bottom of the Barrel to Cream of the Crop: Sequential Screening with Positive Selection. Online Appendix: Partnerships","J Tirole","","","2015"
"À lire","P Betbèze, A Brender, JM Charpin, JM Chevalier, R Contamin, B Fulda, ...","Vecteur Environnement, 2015","","2015"
"Time discounting and discounting time","JS Abramowitz, R Adolphs, A Agassi, G Ainslie, MDS Ainsworth, ...","Addiction: A Behavioral Economic Perspective 51 (1), vii-vii, 2015","","2015"
"Economics 712: Topics in Game Theory","D Fudenberg, J Tirole, G Mailath, L Samuelson","","","2015"
"Will climate change capitalism? The major change of the X XI century","J Mistral, J Tirole, M Rocard, P Artus, F Benhamou, JP Betbeze, A Brender, ...","","","2015"
