"paperName","researcher","journal","citations","year"
"DP10188 The Elephant in the Ground: Managing Oil and Sovereign Wealth","T Van Den Bremer, F van der Ploeg, S Wills","","","2014"
"DP10171 Shrouded Transaction Costs","H Bourguignon, R Gomes, J Tirole","","","2014"
"What Have We Learned?: Macroeconomic Policy after the Crisis","G Dell'Ariccia, P Mauro, J Yellen, LB Smaghi, M King, M Woodford, ...","MIT Press, 2014","","2014"
"Rationalité, psychologie et économie","J Tirole","Problèmes économiques: Selection d'articles français et étrangers, 46-48, 2014","","2014"
"Les contours de l'activité bancaire et l'avenir de sa régulation","J Tirole","Revue française d'économie 29 (3), 93-109, 2014","","2014"
"Comment on"" Pledgability and Liquidity: A New Monetarist Model of Financial and Macroeconomic Activity""","J Tirole","NBER Macroeconomics Annual 2013, Volume 28, 279-286, 2013","","2013"
"Les enjeux économiques du droit des faillites: Note du Conseil d'Analyse Économique n° 7","G Plantin, D Thesmar, J Tirole","Sciences Po publications, 2013","","2013"
"DP9419 Bonus Culture: Competitive Pay, Screening, and Multitasking","R Bénabou, J Tirole","","","2013"
"Bonus Culture","R Bénabou, J Tirole","","","2012"
"Information, Tranching and Liquidity","J Tirole, E Farhi","","","2012"
"Front matter and Introduction to"" Innovation Policy and the Economy, Volume 13""","J Lerner, S Stern","Innovation Policy and the Economy, Volume 13, 0-0, 2012","","2012"
"Preventing and Resolving Banking and Sovereign Crises: Toward a New Institutional Framework","J Tirole","Rivista di Politica Economica, 143-153, 2012","","2012"
"Balancing the Banks: Global Lessons from the Financial Crisis","M Richardson","Journal of Economic Literature 49 (4), 1273-1278, 2011","","2011"
"DP8663 Laws and Norms","R Bénabou, J Tirole","","","2011"
"Online Appendix to Market Power Screens Willingness-to-Pay","EG Weyl, J Tirole","","","2011"
"Bureaucracy and Freedom: NM Korkunov’s Theory of the State","A Oleinik, A Oleinik, M Afanasiev, G Ailon, A Akhiezer, V Aksenov, ...","Market as a Weapon: The Socio-Economic Machinery of Dominance in Russia 16 …, 2011","","2011"
"VEILLE STRATÉGIQUE-Réglementation des cartes de paiement-Une application de l'analyse économique à la politique de la concurrence","J Tirole","Banque Strategie, 41, 2011","","2011"
"Réglementation et sécurité-RÉGLEMENTATION DES PAIEMENTS PAR CARTES-Une application de l'analyse économique à la politique de concurrence","J Tirole","Revue Banque, 28, 2011","","2011"
"Online Appendix to Materialistic Genius and Market Power","EG Weyl, J Tirole","","","2010"
"Regional Initiatives and the Cost of Delaying Binding Climate Change Agreements","J Tirole","","","2010"
"La responsabilità sociale: l'individuo e l'impresa","R Bénabou, J Tirole","Equilibri 14 (2), 255-280, 2010","","2010"
"Diversification Entry: Internal Development versus Acquisition","ZJ Acs, DB Audretsch, R Agarwal, DB Audretsch, P Aghion, P Bolton, ...","Barriers to Competition: The Evolution of the Debate 69 (4), 1-16, 2010","","2010"
"Comment contrôler les déficits budgétaires","J Tirole","Commentaire, 804-805, 2010","","2010"
"Lessons from the Crisis","M Dewatripont, JC Rochet, J Tirole","Introductory Chapters, 2010","","2010"
"Prerequisites","D Fudenberg, J Tirole, D Levine, V Krishna, G Mailath, L Samuelson, ...","","","2010"
"Intrinsic Motivation, Incentives, and Social Norms","J Tirole","Revue économique 60 (3), 577-589, 2009","","2009"
"Les tabous, nouvelles frontières de l'économie","J Tirole","Sciences humaines, 15-15, 2009","","2009"
"Et si Copenhague échouait? Rapport du Conseil d'analyse économique","J Tirole","Problemes Economiques, 20, 2009","","2009"
"The economics of global warming","J Tirole","'Angelo Costa'Lectures Serie, 2009","","2009"
"Economia politica del riscaldamento globale","J Tirole","RIVISTA DI POLITICA ECONOMICA, 2008","","2008"
"On Networks and Markets by Rauch and Casella, eds","P Abell, P Aggarwal, S Law, JC Agnew, S Strasser, JC Agnew, GA Akerlof, ...","Moral Markets: How Knowledge and Affluence Change Consumers and Products 1 …, 2008","","2008"
"THE CARLO ALBERTO NOTEBOOKS","MC Chiuri, D Del Boca","","","2008"
"A fine balance","J Tirole","Business Strategy Review 19 (1), 94-95, 2008","","2008"
"Phanish Puranam on flatness; and Jean Tirole on multi-sided markets","J Tirole","Business Strategy Review 19 (1), 90-95, 2008","","2008"
"La concurrence ne doit pas être une religion","J TIROLE, X DE LA VEGA","Sciences humaines, 24-27, 2008","","2008"
"The Rules of Standard Setting Organizations: An Empirical Analysis","J Lerner, B Chiao, J Tirole","","","2007"
"DP6123 Identity, Dignity and Taboos: Beliefs as Assets","R Bénabou, J Tirole","","","2007"
"DP6127 The Joint Design of Unemployment Insurance and Employment Protection. A First Pass","OJ Blanchard, J Tirole","","","2007"
"DP6121 Reliability and Competitive Electricity Markets","PL Joskow, J Tirole","","","2007"
"DP6132 Tying-in Two-Sided Markets and the Honour All Cards Rule","JC Rochet, J Tirole","","","2007"
"DP6141 The Rules of Standard Setting Organizations: An Empirical Analysis","B Chiao, J Lerner, J Tirole","","","2007"
"IDENTITY, DIGNITY AND TABOOS","J Tirole","","","2007"
"La théorie des jeux et de l'information","J TIROLE, JJ LAFFONT","PCM le pont 105 (7-8), 6-9, 2007","","2007"
"RAND Journal of Economics: Introduction","JC Rochet, J Tirole","RAND Journal of Economics 37 (3), 643-644, 2006","","2006"
"Symposium on two-sided markets-Introduction","JC Rochet, J Tirole","RAND JOURNAL OF ECONOMICS 37 (3), 643-644, 2006","","2006"
"The Mario Einaudi Center for International Studies","R Bénabou, J Tirole","","","2006"
"Lectures on Political and Economic Anthropology","A Macfarlane","","","2006"
"Retail Electricity Competition","J Tirole, P Joskow","HAL Post-Print, 2006","","2006"
"A Theory of Forum Shopping","J Tirole","HAL Post-Print, 2006","","2006"
"Responsabiliser les entreprises en taxant les licenciements","O Blanchard, J Tirole","PROBLEMES POLITIQUES ET SOCIAUX 931, 40, 2006","","2006"
"Certifying New Technologies","J Lerner, J Tirole, E Farhi","","","2005"
"DP4952 Belief in a Just World and Redistributive Politics","R Bénabou, J Tirole","","","2005"
"Quel role pour le FMI?","J Tirole","PROBLEMES ECONOMIQUES 2882, 30, 2005","","2005"
"DP4633 Incentives and Prosocial Behaviour","R Bénabou, J Tirole","","","2004"
"Woodrow Wilson School of Public and International Affairs","R Bénabou, J Tirole","","","2004"
"A Model of Forum Shopping, with Special Reference to Standard Setting Organizations","J Tirole, J Lerner","NBER Working Paper, 2004","","2004"
"Addendum to “Pegs, Risk Management, and Financial Crises”","PA Pathak, J Tirole","","","2004"
"Contours of employment protection reform: Olivier Blanchard And Jean Tirole","O Blanchard, J Tirole","Macroeconomic Theory and Economic Policy, 61-100, 2004","","2004"
"Competitive Electricity Markets","P Joskow, J Tirole","Energy Policy Research Group, Cambridge Judge Business School, University of …, 2004","","2004"
"March 15, 2004","P Joskow, J Tirole","","","2004"
"January 12, 2004","P Joskow, J Tirole","","","2004"
"Timothy J. Kehoe University of Minnesota and Federal Reserve Bank of Minneapolis October 2003 Jean Tirole is a distinguished economist, well known for his contributions to game …","J Tirole","","","2003"
"The Theory of Corporate Finance.","G Qiuping, T Cunzhi, L Jiangqi, AL Eisfeldt, AA Rampini, AL Eisfeldt, ...","Journal of Applied Sciences 13 (13), 177-199, 2003","","2003"
"Jerry A. Hausman Gregory K. Leonard and","J Tirole","RAND Journal of Economics 34 (1), 1-000, 2003","","2003"
"Symposium on evaluating economics research in Europe","JP Neary, JA Mirrlees, J Tirole","Journal of the European Economic Association 1 (6), 1240-1401, 2003","","2003"
"INTERNET INTERCONNECTION AND THE OFF-NET-COST PRICING PRINCIPLE 2002","JJ Laffont, S Marcus, P Rey, J Tirole","Hanken School of Economics, 2002","","2002"
"TRANSPARENCY AND TACIT COLLUSION IN A DIFFERENTIATED MARKET Christian Schultz* CESifo Working Paper No. 730 (9)","LL Harrington, P Møllgaard, J Tirole","","","2002"
"Reaching Higer Productivity Growth in France and Germany","H Gersbach, O Blanchard, MN Baily, J Tirole, M Schnitzer","ETH Zurich, 2002","","2002"
"DP3143 Willpower and Personal Rules","R Bénabou, J Tirole","","","2002"
"Annual Report on the Association's Activities in 2001","J TIROLE","European Economic Review 46 (958), 960, 2002","","2002"
"DP3149 Self Control in Peer Groups","M Battaglini, R Bénabou, J Tirole","","","2002"
"Competition in Telecommunications","SP King","Economic Record 77 (238), 316, 2001","","2001"
"DP2802 Essential Facility Financing and Market Structure","B Caillaud, J Tirole","","","2001"
"The Regulation of Multiproduct Firm: Part I: Theory","JJ Laffont, J Tirole","Welfare Economics 3, 521-556, 2001","","2001"
"Creating Competition through Interconnection: Theory and Practice","JJ Laffont, J Tirole","Welfare Economics 1, 531-560, 2001","","2001"
"The Regulation of Multiproduct Firm: Part II: Applications to Competitive Environments and Policy Analysis","JJ Laffont, J Tirole","Welfare Economics 3, 557-586, 2001","","2001"
"doi: 10.1006 Âjeth. 2001.2884, available online at http: ÂÂwww. idealibrary. com on","CD Aliprantis, A Bogomolnaia, J Davila, B Eckwert, LG Epstein, ...","Journal of Economic Theory 100, 389, 2001","","2001"
"The Regulation of Multiproduct Firms-Part I: Theory'andThe Regulation of Multiproduct Firms-Part II: Applications to Competitive Environments and Policy Analysis'","JJ Laffont, J Tirole","INTERNATIONAL LIBRARY OF CRITICAL WRITINGS IN ECONOMICS 126, 521-588, 2001","","2001"
"DP2579 Self-Confidence & Social Interactions","R Bénabou, J Tirole","","","2000"
"DP2580 Self-Confidence: Intrapersonal Strategies","R Bénabou, J Tirole","","","2000"
"Loyalty and Investment in cooperatives|","P Reyi, J Tirole","","","2000"
"Market Power in Theory and Practice","P Joskow, J Tirole, TA Johnsen, SK Verma, C Wolfram","","","2000"
"Center for Economic Institutions","J Tirole","","","2000"
"L'infrastructure institutionnelle de la politique de concurrence","J Tirole","Revue d'économie du développement 8 (1), 123-132, 2000","","2000"
"Privatization and Incentives', Journal of Law, Economics and Organization, 7, 84-105","JJ Laffont, J Tirole","INTERNATIONAL LIBRARY OF CRITICAL WRITINGS IN ECONOMICS 123, 94-115, 2000","","2000"
"Vol. 67-Fall 2000","JJ Laffont, J Tirole, D Shaviro","The University of Chicago Law Review 67, 2000","","2000"
"Psychology and Economics","J Tirole","","","2000"
"CENTER FOR LAW, ECONOMICS AND ORGANIZATION RESEARCH PAPER SERIES","JJ Laffont, T N’Guessan","","","1999"
"DP2101 Cooperation Among Competitors: The Economics of Credit Card Associations","JC Rochet, J Tirole","","","1999"
"DP2093 Transmission Rights and Market Power on Electric Power Networks I: Financial Rights","PL Joskow, J Tirole","","","1999"
"<U+8B1B><U+8AAD>·<U+7523><U+696D><U+7D44><U+7E54><U+8AD6>--<U+7523><U+696D><U+7D44><U+7E54><U+8AD6><U+30CF><U+30F3><U+30C9><U+30D6><U+30C3><U+30AF> <U+7B2C> 2 <U+7AE0> <U+300C><U+4F01><U+696D><U+306E><U+7406><U+8AD6><U+300D>(1)","<U+6E05><U+6C34><U+65B9><U+5B50>","<U+90F5><U+653F><U+7814><U+7A76><U+6240><U+6708><U+5831> 12 (3), 101-122, 1999","","1999"
"DP2086 Corporate Governance","J Tirole","","","1999"
"Mathias Devvatripont","J Tirole","The Journal of Political Economy 107 (1), 1-39, 1999","","1999"
"DP2087 Transmission Rights and Market Power on Electric Power Networks. II: Physical Rights","PL Joskow, J Tirole","","","1999"
"to the persistence of corruption and to firm quality","J TIROLE","The Economics of Corruption and Illegal Markets 1, 208, 1999","","1999"
"'The Fat-Cat Effect, The Puppy-Dog Ploy, and the Lean and Hungry Look', American Economic Review Papers and Proceedings, 74 (2), May, 361-6","D Fudenberg, J Tirole","INTERNATIONAL LIBRARY OF CRITICAL WRITINGS IN ECONOMICS 102, 327-332, 1998","","1998"
"'A Theory of Dynamic Oligopoly, II: Price Competition, Kinked Demand Curves, and Edgeworth Cycles', Econometrica, 56 (3), May, 571-99","E Maskin, J Tirole","INTERNATIONAL LIBRARY OF CRITICAL WRITINGS IN ECONOMICS 102, 76-104, 1998","","1998"
"Vol. CXII August 1997 Issue 3","F INTERMEDIATION, B HOLMSTROM, J TIROLE","The Quarterly Journal of Economics 112 (3), 663-691, 1997","","1997"
"Network competition: part I and","JJ Laffont, P Rey, J Tirole","Institut d'economie industrielle, Université des Sciences sociales de Toulouse, 1997","","1997"
"to the persistence of corruption and to <U+FB01>rm quality","J TIROLE","","","1996"
"Using Cost Observation to Regulate Firms","JJ Laffont, J Tirole","Economics of Defense 2, 239-266, 1995","","1995"
"Changing views of the corporate income tax.","Y Wu, C Tian, J Arlen, DM Weiss, R Chetty, E Saez, D Hackbarth, ...","Information Technology Journal 12 (14), 325-391, 1995","","1995"
"Inside and Outside Liquidity.","Y Xiani, T Cunzhi, J Arlen, DM Weiss, J Arlen, WB MacLeod, J McLure, ...","Information Technology Journal 12 (14), 325-391, 1995","","1995"
"A theory of income and","D Fudenberg, J Tirole","Version http://dx. doi. org/10.1086/261976, 1995","","1995"
"CORPORATE STRUCTURE, R-AND-D AND INCENTIVES","J Tirole, E Turpin","ANNALES DES TELECOMMUNICATIONS-ANNALS OF TELECOMMUNICATIONS 50 (1), 165-184, 1995","","1995"
"Structures dentreprise, R&D et incitationsCorporate structure, R&D and incentives","J Tirole, E Turpin","Annales des télécommunications 50 (1), 165-184, 1995","","1995"
"A Theory of Incentives in Procurement and Regulation","I Vogelsang","Journal of Economics 59 (3), 335-339, 1994","","1994"
"Financial support from the NSF is gratefully acknowledged. All errors are my own. This paper is part of NBER's research program in Growth. Any opinions expressed are those of …","J Heaton, J Tirole, Y Weiss","","","1993"
"PeTlistence of Corruption","J Tirole","","","1992"
"GAME-THEORY AND ECONOMIC MODELING-KREPS, DM","J Tirole","Journal of economic literature 30 (2), 895-896, 1992","","1992"
"IN HONOR OF KREPS, DAVID, WINNER OF THE CLARK, JOHN, BATES MEDAL","J TIROLE","JOURNAL OF ECONOMIC PERSPECTIVES 4 (3), 149-170, 1990","","1990"
"Business cycle fluctuations in US macroeconomic time series.","M Kaplan, R Barro, A Bhide, M Binswanger, M Binswanger, F Canova, ...","Journal of Applied Sciences 8 (2), 115-131, 1990","","1990"
"[BOOK REVIEW] The theory of industrial organization","J Tirole","Journal of Political Economy 98, 668-671, 1990","","1990"
"A Theory of Dynamic Oligopoly, II","E Maskin, J Tirole","Econometrica: Journal of the Econometric Society, 1501-1501, 1989","","1989"
"Erratum: Preemption and Rent Equalization in the Adoption of New Technology","D Fudenberg, J Tirole","The Review of Economic Studies 55 (3), 507-507, 1988","","1988"
"£ cole des Hautes Etudes en Sciences Sociales","F Bourguignon, H Boussouf-Idrissi, A Bozio, C Chamley, D Cogneau, ...","Modelling the accumulation and distribution of wealth, 257, 1988","","1988"
"Repeated Auctions of Incentive Contracts, Investment and Bidding Parity With an Application to Takeovers","J Tirole, JJ Laffont","Massachusetts Institute of Technology (MIT), Department of Economics Working …, 1987","","1987"
"Une théorie normative des contrats Etats-Entreprises in Numéro spécial sur l'économie industrielle","JJ LAFFONT, J TIROLE","Annales d'Economie et de Statistique, 107-132, 1986","","1986"
"The MIT Press","B Holmstrom, JRI Costa","","","1986"
"ECONOMICS, & ORGANIZATION","J Tirole, V Vanberg, JM Buchanan, A Schwartz, LA Bebchuk, R Craswell, ...","ORGANIZATION 2 (2), 1986","","1986"
"THE ECONOMICS OF RD INTRODUCTION TO THE PURE THEORY","J TIROLE","REVUE ECONOMIQUE 36 (5), 843-871, 1985","","1985"
"ACKNOWLEDGMENT 403 Michael JP Magi11 Andreu Mas-Cole11 Richard McLean Andrew McLennan","D Nachman, D Newbery, W Novshek, Y Nyarko, ES Phelps, R Porter, ...","Journal of Economic Theory 35, 402403, 1985","","1985"
"Essays in economic theory","J Tirole","Massachusetts Institute of Technology, 1981","","1981"
"Gradient projection algorithms for problems in public finance: a note","J Tirole, R Guesnerie","Cepremap, 1979","","1979"
"DILEMMAS OF DOLLAR-ECONOMICS AND POLITICS OF UNITED-STATES INTERNATIONAL MONETARY-POLICY-BERGSTEN, CF","S WEINTRAUB","JOURNAL OF ECONOMIC LITERATURE 15 (1), 134-135, 1977","","1977"
"Narratives, Imperatives, and Moral Persuasion","R Bénabou, A Falk, J Tirole","","",""
"A Theory of Income and Dividend Smoothing Based on Incumbency Rents","J Tirole, D Fudenberg","University of Chicago Press, 0","",""
"Incomplete Information Bargaining with Outside Opportunities","J Tirole, D Levine, D Fudenberg","MIT Press, 0","",""
"GLOBAL LESSONS FROM THE FiNANCiAL CRiSiS","M DEWATRIPONT, JC ROCHET, J TIROLE","","",""
"Jean Tiróle Econometrica; Jan 2001; 69, 1; ABI/INFORM Global Pg-!","J Tiróle","","",""
"The Economics of Career Concerns, Part II: Application to Missions","M DEWATRIPONT, IAN JEWITT, J TIROLE, G IDEI, MIT CERAS","","",""
"Forthcoming Handbook of Industrial Organization","J Tirole","","",""
"Note de lecture comparée","P Cahuc, A Zylberberg, J Tirole","","",""
"Frank Knight Preemptively Settles the Horse Race","J Watson, D Levine, E Fehr, K Schmidt, G Bolton, A Ockenfels, M Rabin, ...","","",""
"Public Sector Economics 2/2018","K OTT, D MIHALJEK, B ÉGERT, E KOCENDA, M KOLLATZ-AHNEN, ...","","",""
"The Suntory and Toyota International Centres for Economics and Related Disciplines","R BÉNABOU, J TIROLE","","",""
"in Bargaining. Psych. Rev. 86 (1979), pp. 574–94. Rubinstein, A.: Perfect Equilibrium in a Bargaining Model. Econometrica 50","D Levine, J Tirole","","",""
"The World Financial Crisis: What Have We Learned?","M Dewatripont, JC Rochet, J Tirole, J Taylor, K French","","",""
"THE VIEWS EXPRESSED HEREIN ARE THE AUTHOR'S RESPONSIBILITY AND DO NOT NECESSARILY REFLECT THOSE OF THE MLT ENERGY LABORATORY OR THE MASSACHUSETTS INSTITUTE OF TECHNOLOGY.","JJ Laffont, J Tirole","","",""
"Topics and Readings","D Fudenberg, J Tirole, D Levine, V Krishna, G Mailath, L Samuelson","Econometrica 50 (5), 1089-1122, 0","",""
"Technical Appendix for “Willpower and Personal Rules”","R Bénabou, J Tirole","","",""
"Browse Articles","S Sales, M Evans","","",""
"Scale Returns in Communication and Elite 1 Control of Organizations Kenneth J. Arrow Constructed Organization: First Principles 7","JS Coleman, J Design, B Holmstrom, P Milgrom, PL Joskow, JJ Laffont, ...","","",""
"Paul Joskow","PL JOSKOW","","",""
"l’approche principal—agent","P REY, J TIROLE","","",""
"État-entreprises","JJ LAFFONT, J TIROLE","","",""
"We Will If You Will","DJC MacKay, R Cooper, J Stiglitz, W Nordhaus, ML Weitzman, ...","","",""
"From The New Palgrave Dictionary of Economics, 2008 Edited by Steven N. Durlauf and Lawrence E. Blume","J Tirole","","",""
"Department of Economics Research and Teaching Output of the MIT Community","HL Rosenthal, KF Feldstein, AW Bartik, PD Hull","","",""
"rules of the game. If, say, oligopolists obtain low pro<U+FB01>ts by playing some market game, they","J TIROLE","","",""
"<U+FB01>PlQlfh< E","O Hart, J Tirole","","",""
"Textos Principales","P Bolton, JJ Laffont, J Tirole, I Macho-Stadler, D Pérez-Castrillo, ...","","",""
"Economics-Ph. D./Sc. D. Research and Teaching Output of the MIT Community","KF Feldstein, AW Bartik, PD Hull","","",""
"922 INDEX TO VOLUME 70","F Lippi, NAW Setters, D Martimort, D Mookherjee, WK Newey, ...","","",""
"Theses-Dept. of Economics Research and Teaching Output of the MIT Community","KKO Takala, PS Fanelli, SM Abraham, AD Zucker, E Tironi","","",""
"ASYMMETRIC EQÜILBRIUM IN THE WAR OF ATTRITION","B Nalebuff, J Rileyt, JS Mirrlees, J Tiróle","","",""
"l.-EL OBJETO DE ESTUDIO DE LA ECONOMÍA INDUSTRIAL.","J Tiróle, DM Kreps, HR Varian","","",""
"de Melo, Jaime Agency Theory Bom, Patricia Agent Diamond, Peter","M Fujita, P Krugman, P Martin, D Puga, A Demand, R Layard, ...","","",""
"THE DYNAMICS OF INCENTIVE CONTRACT SI","BYJJ Larrom, J TIROLE","","",""
"15 Competition Policy in Two-Sided Markets, with on Payment Cards","JC Rochet, J Tirole","","",""
"Incomplete Contracts: Where Do We Stand? ST 0..","J Tirole","","",""
"Some reflections on Open Source Software Eloic Peyrache MPSE, University of Toulouse 1 Jacques Crémer CNRS, GREMAQ and IDEI, University of Toulouse","J Tirole","","",""
"Nobel Symposium Foundations of Organization","S Athey, S Barley, N Biggart, N Brunsson, R Burt, S Clegg, B Czarniawska, ...","","",""
"Taylor, John (1975)."" Monetary Policy During a Transition to Rational Expecta-tions.''Journal of Political Economy S3. 5, 1009-1021. Taylor, John B.(1977)."" Conditions for …","J Tiróle, O Generations, R Townsend, M Anticipations, K West, ...","Journal of Economics 102, 553-580, 0","",""
"Varían, HR Intermediate Microeconomics.(WW Norton and Co., 1993) [ISBN 0-393-96320-9] Chapter 27. Tiróle, J. Tfie Theory of industrial Organization.(The MIT Press, 1990)[ISBN 0 …","J Tiróle","","",""
"BEHAVIORAL INCENTIVE THEORY","J TIROLE","","",""
"THE NEW ECONOMICS OF REGULATION TEN YEARS AFTER Bv JEAN-Jacoues LAFFONT1","J Tirole","","",""
"This version: May 20, 2010","J Tirole","","",""
"Volume CXII August 1997 Issue 3","B HOLMSTROM, J TIROLE, M BURKART, D GROMB, F PANUNZI, ...","","",""
"uro 6ono eview 22 (19. North-I Iajlland","D Fudenberg, R Gilbert, J Stiglitz, J Tirole, GC d’Aspremont, P Nansen, ...","","",""
"Benjamin Chiao","B Chiao, J Lerner, J Tirole","","",""
"implies that BP (@) Q= BP (Q)(Z11—<U+FB01>z)> E. However, a U1-D1","O Hart, J Tirole","","",""
"Information Structures","M DEWATRIPONT, IAN JEWITT, J TIROLE, G IDEI, MIT CERAS","","",""
"Reviewer: Franklin Allen, Finance Department, Wharton School, University of Pennsylvania, Philadelphia, PA 19104, USA","J Tirole","","",""
"72 Robert\V. Rosenthal Roth, A., and M. Malouf: Game-Theoretic Models and the Role of Information in Bargaining. Psych. Rev 86 (1979), pp. 574-94. Rubinstein, A.: Perfect …","D Fudenberg, D Levine, J Tiróle","","",""
